time	V(n002)	I(Rc)	Ib(Q1)
0.000000000000000e+000	5.569879e-003	-5.569879e-006	2.000000e-005
7.489828359601756e-005	6.153506e-003	-3.906557e-006	2.000000e-005
1.497965671920351e-004	6.726639e-003	-2.232742e-006	2.000000e-005
2.246948507880527e-004	7.289278e-003	-5.484321e-007	2.000000e-005
2.995931343840702e-004	7.841423e-003	1.146371e-006	2.000000e-005
3.744914179800878e-004	8.383074e-003	2.851669e-006	2.000000e-005
4.493897015761054e-004	8.914232e-003	4.567460e-006	2.000000e-005
5.242879851721227e-004	9.434896e-003	6.293745e-006	2.000000e-005
1.048575970344245e-003	1.286308e-002	1.859420e-005	2.000000e-005
2.025138470344245e-003	1.854099e-002	4.221316e-005	2.000000e-005
3.001700970344245e-003	2.349537e-002	6.655566e-005	2.000000e-005
3.978263470344245e-003	2.779878e-002	9.154913e-005	2.000000e-005
4.954825970344245e-003	3.160187e-002	1.170429e-004	2.000000e-005
5.931388470344245e-003	3.500965e-002	1.429320e-004	2.000000e-005
6.907950970344245e-003	3.809706e-002	1.691415e-004	2.000000e-005
8.861075970344245e-003	4.352257e-002	2.223097e-004	2.000000e-005
1.081420097034425e-002	4.819184e-002	2.762342e-004	2.000000e-005
1.374388847034425e-002	5.418851e-002	3.581282e-004	2.000000e-005
1.597603132748710e-002	5.803060e-002	4.212504e-004	2.000000e-005
1.820817418462996e-002	6.163477e-002	4.846105e-004	2.000000e-005
2.044031704177282e-002	6.500102e-002	5.482085e-004	2.000000e-005
2.267245989891568e-002	6.812935e-002	6.120444e-004	2.000000e-005
2.490460275605853e-002	7.101976e-002	6.761183e-004	2.000000e-005
2.713674561320139e-002	7.367224e-002	7.404301e-004	2.000000e-005
2.936888847034425e-002	7.608680e-002	8.049798e-004	2.000000e-005
3.439120989891568e-002	8.112663e-002	9.506096e-004	2.000000e-005
3.941353132748711e-002	8.594799e-002	1.096458e-003	2.000000e-005
4.443585275605853e-002	9.055089e-002	1.242525e-003	2.000000e-005
4.945817418462997e-002	9.493532e-002	1.388810e-003	2.000000e-005
5.448049561320140e-002	9.910130e-002	1.535314e-003	2.000000e-005
5.950281704177282e-002	1.030488e-001	1.682036e-003	2.000000e-005
6.452513847034425e-002	1.067779e-001	1.828976e-003	2.000000e-005
7.052402239891567e-002	1.111485e-001	2.004572e-003	2.000000e-005
7.652290632748711e-002	1.157798e-001	2.179907e-003	2.000000e-005
8.252179025605853e-002	1.206717e-001	2.354982e-003	2.000000e-005
8.852067418462997e-002	1.258244e-001	2.529796e-003	2.000000e-005
9.451955811320140e-002	1.312376e-001	2.704349e-003	2.000000e-005
1.005184420417728e-001	1.369116e-001	2.878642e-003	2.000000e-005
1.065173259703443e-001	1.428462e-001	3.052674e-003	2.000000e-005
1.093075045417728e-001	1.457635e-001	3.133462e-003	2.000000e-005
1.120976831132014e-001	1.491636e-001	3.213767e-003	2.000000e-005
1.148878616846300e-001	1.530464e-001	3.293589e-003	2.000000e-005
1.176780402560585e-001	1.574119e-001	3.372929e-003	2.000000e-005
1.204682188274871e-001	1.622602e-001	3.451786e-003	2.000000e-005
1.232583973989157e-001	1.675913e-001	3.530161e-003	2.000000e-005
1.260485759703443e-001	1.734051e-001	3.608052e-003	2.000000e-005
1.289782634703443e-001	1.814355e-001	3.687912e-003	2.000000e-005
1.319079509703443e-001	1.920579e-001	3.765181e-003	2.000000e-005
1.338610759703443e-001	2.016774e-001	3.814155e-003	2.000000e-005
1.348376384703443e-001	2.077496e-001	3.837380e-003	2.000000e-005
1.358142009703443e-001	2.150805e-001	3.859345e-003	2.000000e-005
1.367907634703443e-001	2.241815e-001	3.879541e-003	2.000000e-005
1.377673259703443e-001	2.357897e-001	3.897230e-003	2.000000e-005
1.387438884703443e-001	2.508031e-001	3.911513e-003	2.000000e-005
1.397204509703443e-001	2.698793e-001	3.921734e-003	2.000000e-005
1.406970134703443e-001	2.928201e-001	3.928090e-003	2.000000e-005
1.426501384703443e-001	3.457003e-001	3.933804e-003	2.000000e-005
9.795642009703443e-001	2.449900e+001	4.887921e-003	2.000000e-005
9.990954509703443e-001	2.506269e+001	4.910175e-003	2.000000e-005
1.000000000000000e+000	2.508879e+001	4.911206e-003	2.000000e-005
