time	V(n002)	I(Rc)	Ib(Q1)
0.000000000000000e+000	6.920368e-003	-6.920368e-006	8.000000e-005
1.497965671920351e-004	7.270328e-003	-2.776431e-006	8.000000e-005
2.995931343840702e-004	7.615659e-003	1.372135e-006	8.000000e-005
4.493897015761054e-004	7.956362e-003	5.525330e-006	8.000000e-005
5.991862687681405e-004	8.292436e-003	9.683152e-006	8.000000e-005
7.489828359601756e-004	8.623882e-003	1.384560e-005	8.000000e-005
8.987794031522108e-004	8.950700e-003	1.801268e-005	8.000000e-005
1.048575970344245e-003	9.272890e-003	2.218439e-005	8.000000e-005
2.025138470344245e-003	1.131025e-002	4.944390e-005	8.000000e-005
3.001700970344245e-003	1.323169e-002	7.681934e-005	8.000000e-005
3.978263470344245e-003	1.503545e-002	1.043125e-004	8.000000e-005
5.931388470344245e-003	1.834264e-002	1.595990e-004	8.000000e-005
7.884513470344245e-003	2.131731e-002	2.152181e-004	8.000000e-005
1.081420097034425e-002	2.528688e-002	2.991392e-004	8.000000e-005
1.374388847034425e-002	2.879212e-002	3.835245e-004	8.000000e-005
1.653406704177282e-002	3.171009e-002	4.643119e-004	8.000000e-005
1.932424561320139e-002	3.444924e-002	5.452781e-004	8.000000e-005
2.211442418462997e-002	3.700958e-002	6.264231e-004	8.000000e-005
2.490460275605853e-002	3.939111e-002	7.077470e-004	8.000000e-005
2.769478132748711e-002	4.159383e-002	7.892496e-004	8.000000e-005
3.048495989891568e-002	4.361774e-002	8.709311e-004	8.000000e-005
3.327513847034425e-002	4.546283e-002	9.527914e-004	8.000000e-005
3.927402239891568e-002	4.910510e-002	1.129116e-003	8.000000e-005
4.527290632748711e-002	5.251379e-002	1.305673e-003	8.000000e-005
5.127179025605853e-002	5.568890e-002	1.482465e-003	8.000000e-005
5.727067418462997e-002	5.863044e-002	1.659490e-003	8.000000e-005
6.326955811320140e-002	6.133840e-002	1.836748e-003	8.000000e-005
6.926844204177282e-002	6.381278e-002	2.014240e-003	8.000000e-005
7.526732597034425e-002	6.605359e-002	2.191966e-003	8.000000e-005
8.866018311320140e-002	7.067853e-002	2.589127e-003	8.000000e-005
1.020530402560586e-001	7.504654e-002	2.986545e-003	8.000000e-005
1.154458973989157e-001	7.915760e-002	3.384219e-003	8.000000e-005
1.288387545417729e-001	8.301172e-002	3.782151e-003	8.000000e-005
1.422316116846300e-001	8.660889e-002	4.180339e-003	8.000000e-005
1.556244688274871e-001	8.994913e-002	4.578785e-003	8.000000e-005
1.690173259703443e-001	9.303243e-002	4.977487e-003	8.000000e-005
1.935708973989157e-001	9.843673e-002	5.708690e-003	8.000000e-005
2.181244688274871e-001	1.038580e-001	6.439876e-003	8.000000e-005
2.426780402560586e-001	1.092962e-001	7.171045e-003	8.000000e-005
2.672316116846300e-001	1.147513e-001	7.902197e-003	8.000000e-005
2.917851831132015e-001	1.202233e-001	8.633332e-003	8.000000e-005
3.163387545417729e-001	1.257123e-001	9.364450e-003	8.000000e-005
3.408923259703443e-001	1.312183e-001	1.009555e-002	8.000000e-005
3.558197813274871e-001	1.346408e-001	1.053995e-002	8.000000e-005
3.707472366846299e-001	1.384921e-001	1.098392e-002	8.000000e-005
3.856746920417729e-001	1.427722e-001	1.142747e-002	8.000000e-005
4.006021473989157e-001	1.474809e-001	1.187058e-002	8.000000e-005
4.155296027560586e-001	1.526184e-001	1.231327e-002	8.000000e-005
4.304570581132014e-001	1.581846e-001	1.275553e-002	8.000000e-005
4.453845134703443e-001	1.641795e-001	1.319736e-002	8.000000e-005
4.515229063274871e-001	1.668256e-001	1.337886e-002	8.000000e-005
4.576612991846299e-001	1.700083e-001	1.355983e-002	8.000000e-005
4.637996920417729e-001	1.737277e-001	1.374026e-002	8.000000e-005
4.699380848989157e-001	1.779838e-001	1.392016e-002	8.000000e-005
4.760764777560586e-001	1.827766e-001	1.409952e-002	8.000000e-005
4.822148706132014e-001	1.881060e-001	1.427834e-002	8.000000e-005
4.883532634703443e-001	1.939721e-001	1.445663e-002	8.000000e-005
4.907249152560586e-001	1.964599e-001	1.452529e-002	8.000000e-005
4.930965670417728e-001	1.995496e-001	1.459335e-002	8.000000e-005
4.954682188274871e-001	2.032414e-001	1.466080e-002	8.000000e-005
4.978398706132014e-001	2.075352e-001	1.472766e-002	8.000000e-005
5.002115223989156e-001	2.124310e-001	1.479391e-002	8.000000e-005
5.025831741846299e-001	2.179288e-001	1.485957e-002	8.000000e-005
5.049548259703443e-001	2.240287e-001	1.492462e-002	8.000000e-005
5.078845134703443e-001	2.348538e-001	1.500168e-002	8.000000e-005
5.098376384703443e-001	2.448811e-001	1.505025e-002	8.000000e-005
5.108142009703443e-001	2.512934e-001	1.507313e-002	8.000000e-005
5.117907634703443e-001	2.590863e-001	1.509464e-002	8.000000e-005
5.127673259703443e-001	2.687751e-001	1.511425e-002	8.000000e-005
5.137438884703443e-001	2.810191e-001	1.513130e-002	8.000000e-005
5.147204509703443e-001	2.964517e-001	1.514516e-002	8.000000e-005
5.156970134703443e-001	3.152875e-001	1.515562e-002	8.000000e-005
5.166735759703443e-001	3.370240e-001	1.516318e-002	8.000000e-005
5.196032634703443e-001	4.104789e-001	1.517762e-002	8.000000e-005
9.795642009703443e-001	1.238577e+001	1.700116e-002	8.000000e-005
9.990954509703443e-001	1.289428e+001	1.707858e-002	8.000000e-005
1.000000000000000e+000	1.291783e+001	1.708217e-002	8.000000e-005
