time	Vin	Vbe	Ib
2.149157634703443e-001	2.149158e-001	2.149157e-001	6.778662e-011
2.168688884703443e-001	2.168689e-001	2.168688e-001	7.028536e-011
2.188220134703443e-001	2.188220e-001	2.188219e-001	7.274831e-011
2.207751384703443e-001	2.207751e-001	2.207751e-001	7.517546e-011
2.227282634703443e-001	2.227283e-001	2.227282e-001	7.756683e-011
2.235653170417728e-001	2.235653e-001	2.235652e-001	7.833446e-011
2.244023706132014e-001	2.244024e-001	2.244023e-001	7.887807e-011
2.252394241846300e-001	2.252394e-001	2.252393e-001	7.919767e-011
2.260764777560585e-001	2.260765e-001	2.260764e-001	7.929326e-011
2.269135313274871e-001	2.269135e-001	2.269134e-001	7.916483e-011
2.277505848989157e-001	2.277506e-001	2.277505e-001	7.881239e-011
2.285876384703443e-001	2.285876e-001	2.285876e-001	7.823594e-011
2.295642009703443e-001	2.295642e-001	2.295641e-001	7.717760e-011
2.305407634703443e-001	2.305408e-001	2.305407e-001	7.581303e-011
2.315173259703443e-001	2.315173e-001	2.315173e-001	7.422318e-011
2.324938884703443e-001	2.324939e-001	2.324938e-001	7.251728e-011
2.334704509703443e-001	2.334705e-001	2.334704e-001	7.081885e-011
2.344470134703443e-001	2.344470e-001	2.344469e-001	6.924799e-011
2.354235759703443e-001	2.354236e-001	2.354235e-001	6.790471e-011
2.364001384703443e-001	2.364001e-001	2.364001e-001	6.685796e-011
2.373767009703443e-001	2.373767e-001	2.373766e-001	6.614232e-011
2.383532634703443e-001	2.383533e-001	2.383532e-001	6.576158e-011
2.393298259703443e-001	2.393298e-001	2.393298e-001	6.569655e-011
2.403063884703443e-001	2.403064e-001	2.403063e-001	6.591407e-011
2.412829509703443e-001	2.412830e-001	2.412829e-001	6.637506e-011
2.432360759703443e-001	2.432361e-001	2.432360e-001	6.787478e-011
2.461657634703443e-001	2.461658e-001	2.461657e-001	7.112318e-011
2.496534866846300e-001	2.496535e-001	2.496534e-001	7.573667e-011
2.531412098989157e-001	2.531412e-001	2.531411e-001	8.140716e-011
2.566289331132014e-001	2.566289e-001	2.566288e-001	8.813463e-011
2.601166563274871e-001	2.601166e-001	2.601166e-001	9.591910e-011
2.636043795417729e-001	2.636044e-001	2.636043e-001	1.047605e-010
2.670921027560586e-001	2.670921e-001	2.670920e-001	1.146590e-010
2.705798259703443e-001	2.705798e-001	2.705797e-001	1.256144e-010
