time	V(n003)	V(n005)	V(n006)	I(R3)	Ib(Q5)
2.232862991846300e-001	2.377904e+001	6.116431e-001	6.107456e-001	2.209627e-004	8.975414e-007
2.244023706132014e-001	2.377440e+001	6.122012e-001	6.112848e-001	2.255975e-004	9.164182e-007
2.255184420417728e-001	2.376968e+001	6.127592e-001	6.118236e-001	2.303231e-004	9.356665e-007
2.266345134703443e-001	2.376486e+001	6.133173e-001	6.123620e-001	2.351395e-004	9.552864e-007
2.285876384703443e-001	2.375619e+001	6.142938e-001	6.133032e-001	2.438094e-004	9.906096e-007
2.295642009703443e-001	2.375174e+001	6.147821e-001	6.137733e-001	2.482584e-004	1.008739e-006
2.305407634703443e-001	2.374722e+001	6.152704e-001	6.142432e-001	2.527851e-004	1.027186e-006
2.315173259703443e-001	2.374261e+001	6.157587e-001	6.147127e-001	2.573907e-004	1.045957e-006
2.324938884703443e-001	2.373792e+001	6.162469e-001	6.151819e-001	2.620765e-004	1.065057e-006
2.334704509703443e-001	2.373316e+001	6.167352e-001	6.156508e-001	2.668437e-004	1.084491e-006
2.344470134703443e-001	2.372831e+001	6.172235e-001	6.161193e-001	2.716936e-004	1.104264e-006
2.354235759703443e-001	2.372337e+001	6.177118e-001	6.165874e-001	2.766275e-004	1.124381e-006
2.364001384703443e-001	2.371835e+001	6.182001e-001	6.170552e-001	2.816467e-004	1.144849e-006
2.373767009703443e-001	2.371325e+001	6.186883e-001	6.175227e-001	2.867525e-004	1.165672e-006
2.383532634703443e-001	2.370805e+001	6.191766e-001	6.179898e-001	2.919463e-004	1.186857e-006
2.393298259703443e-001	2.370277e+001	6.196649e-001	6.184565e-001	2.972294e-004	1.208408e-006
2.403063884703443e-001	2.369740e+001	6.201532e-001	6.189228e-001	3.026031e-004	1.230332e-006
2.412829509703443e-001	2.369193e+001	6.206415e-001	6.193888e-001	3.080690e-004	1.252634e-006
2.432360759703443e-001	2.368072e+001	6.216180e-001	6.203196e-001	3.192826e-004	1.298397e-006
2.461657634703443e-001	2.366317e+001	6.230829e-001	6.217129e-001	3.368290e-004	1.370028e-006
