time	V(n002)	I(Rc)	Ib(Q1)
0.000000000000000e+000	6.405097e-003	-6.405097e-006	4.000000e-005
1.497965671920351e-004	7.057971e-003	-2.564074e-006	4.000000e-005
2.995931343840702e-004	7.696594e-003	1.291200e-006	4.000000e-005
4.493897015761054e-004	8.320967e-003	5.160724e-006	4.000000e-005
5.991862687681405e-004	8.931089e-003	9.044499e-006	4.000000e-005
7.489828359601756e-004	9.526961e-003	1.294252e-005	4.000000e-005
8.987794031522108e-004	1.010858e-002	1.685480e-005	4.000000e-005
1.048575970344245e-003	1.067595e-002	2.078133e-005	4.000000e-005
2.025138470344245e-003	1.420091e-002	4.655325e-005	4.000000e-005
3.001700970344245e-003	1.740878e-002	7.264225e-005	4.000000e-005
3.978263470344245e-003	2.031307e-002	9.903483e-005	4.000000e-005
4.954825970344245e-003	2.296636e-002	1.256784e-004	4.000000e-005
5.931388470344245e-003	2.540887e-002	1.525328e-004	4.000000e-005
7.884513470344245e-003	2.978024e-002	2.067552e-004	4.000000e-005
9.837638470344245e-003	3.361046e-002	2.615187e-004	4.000000e-005
1.276732597034425e-002	3.859903e-002	3.444208e-004	4.000000e-005
1.569701347034425e-002	4.291019e-002	4.280002e-004	4.000000e-005
1.848719204177282e-002	4.642453e-002	5.081912e-004	4.000000e-005
2.127737061320139e-002	4.971186e-002	5.886093e-004	4.000000e-005
2.406754918462997e-002	5.277217e-002	6.692543e-004	4.000000e-005
2.685772775605853e-002	5.560546e-002	7.501264e-004	4.000000e-005
2.964790632748711e-002	5.821174e-002	8.312255e-004	4.000000e-005
3.243808489891568e-002	6.059101e-002	9.125516e-004	4.000000e-005
3.522826347034425e-002	6.274326e-002	9.941047e-004	4.000000e-005
4.136665632748711e-002	6.710680e-002	1.173893e-003	4.000000e-005
4.750504918462997e-002	7.121256e-002	1.353939e-003	4.000000e-005
5.364344204177282e-002	7.506054e-002	1.534243e-003	4.000000e-005
5.978183489891568e-002	7.865075e-002	1.714804e-003	4.000000e-005
6.592022775605855e-002	8.198317e-002	1.895624e-003	4.000000e-005
7.205862061320140e-002	8.505782e-002	2.076701e-003	4.000000e-005
7.819701347034425e-002	8.787469e-002	2.258036e-003	4.000000e-005
9.033429025605853e-002	9.315348e-002	2.616875e-003	4.000000e-005
1.024715670417728e-001	9.836358e-002	2.975784e-003	4.000000e-005
1.146088438274871e-001	1.035050e-001	3.334761e-003	4.000000e-005
1.267461206132014e-001	1.085777e-001	3.693806e-003	4.000000e-005
1.388833973989157e-001	1.135817e-001	4.052920e-003	4.000000e-005
1.510206741846300e-001	1.185170e-001	4.412103e-003	4.000000e-005
1.631579509703443e-001	1.233837e-001	4.771355e-003	4.000000e-005
1.719470134703443e-001	1.269462e-001	5.031464e-003	4.000000e-005
1.807360759703443e-001	1.309018e-001	5.291180e-003	4.000000e-005
1.895251384703443e-001	1.352504e-001	5.550504e-003	4.000000e-005
1.983142009703443e-001	1.399920e-001	5.809434e-003	4.000000e-005
2.071032634703443e-001	1.451266e-001	6.067971e-003	4.000000e-005
2.158923259703443e-001	1.506543e-001	6.326116e-003	4.000000e-005
2.246813884703443e-001	1.565750e-001	6.583867e-003	4.000000e-005
2.283086206132014e-001	1.592175e-001	6.690041e-003	4.000000e-005
2.319358527560586e-001	1.623323e-001	6.795743e-003	4.000000e-005
2.355630848989157e-001	1.659194e-001	6.900973e-003	4.000000e-005
2.391903170417728e-001	1.699788e-001	7.005731e-003	4.000000e-005
2.428175491846300e-001	1.745104e-001	7.110016e-003	4.000000e-005
2.464447813274871e-001	1.795143e-001	7.213829e-003	4.000000e-005
2.500720134703443e-001	1.849904e-001	7.317170e-003	4.000000e-005
2.516066116846299e-001	1.875237e-001	7.360675e-003	4.000000e-005
2.531412098989157e-001	1.906099e-001	7.403626e-003	4.000000e-005
2.546758081132014e-001	1.942491e-001	7.446025e-003	4.000000e-005
2.562104063274871e-001	1.984413e-001	7.487871e-003	4.000000e-005
2.577450045417728e-001	2.031864e-001	7.529164e-003	4.000000e-005
2.592796027560586e-001	2.084846e-001	7.569903e-003	4.000000e-005
2.608142009703443e-001	2.143358e-001	7.610090e-003	4.000000e-005
2.627673259703443e-001	2.246433e-001	7.658376e-003	4.000000e-005
2.637438884703443e-001	2.312810e-001	7.681035e-003	4.000000e-005
2.647204509703443e-001	2.394136e-001	7.702200e-003	4.000000e-005
2.656970134703443e-001	2.496412e-001	7.721270e-003	4.000000e-005
2.666735759703443e-001	2.627497e-001	7.737458e-003	4.000000e-005
2.676501384703443e-001	2.794896e-001	7.750015e-003	4.000000e-005
2.686267009703443e-001	3.000559e-001	7.758745e-003	4.000000e-005
2.696032634703443e-001	3.237500e-001	7.764348e-003	4.000000e-005
2.725329509703443e-001	4.028978e-001	7.773091e-003	4.000000e-005
9.795642009703443e-001	2.007954e+001	9.307390e-003	4.000000e-005
9.990954509703443e-001	2.062309e+001	9.349771e-003	4.000000e-005
1.000000000000000e+000	2.064827e+001	9.351734e-003	4.000000e-005
