time	V(n002)	I(Rc)	Ib(Q1)
0.000000000000000e+000	7.035479e-003	-7.035479e-006	1.000000e-004
1.497965671920351e-004	7.319758e-003	-2.825861e-006	1.000000e-004
2.995931343840702e-004	7.600902e-003	1.386892e-006	1.000000e-004
4.493897015761054e-004	7.878910e-003	5.602781e-006	1.000000e-004
5.991862687681405e-004	8.153782e-003	9.821805e-006	1.000000e-004
7.489828359601756e-004	8.425519e-003	1.404397e-005	1.000000e-004
8.987794031522108e-004	8.694121e-003	1.826926e-005	1.000000e-004
1.048575970344245e-003	8.959587e-003	2.249769e-005	1.000000e-004
2.025138470344245e-003	1.064626e-002	5.010790e-005	1.000000e-004
3.001700970344245e-003	1.225183e-002	7.779920e-005	1.000000e-004
4.954825970344245e-003	1.522044e-002	1.334243e-004	1.000000e-004
6.907950970344245e-003	1.791594e-002	1.893226e-004	1.000000e-004
9.837638470344245e-003	2.154659e-002	2.735826e-004	1.000000e-004
1.276732597034425e-002	2.478086e-002	3.582389e-004	1.000000e-004
1.555750454177282e-002	2.749784e-002	4.392273e-004	1.000000e-004
1.834768311320139e-002	3.005411e-002	5.203764e-004	1.000000e-004
2.113786168462997e-002	3.244968e-002	6.016862e-004	1.000000e-004
2.392804025605853e-002	3.468454e-002	6.831567e-004	1.000000e-004
2.671821882748711e-002	3.675869e-002	7.647879e-004	1.000000e-004
2.950839739891568e-002	3.867213e-002	8.465798e-004	1.000000e-004
3.229857597034425e-002	4.042486e-002	9.285324e-004	1.000000e-004
3.829745989891568e-002	4.388496e-002	1.105039e-003	1.000000e-004
4.429634382748711e-002	4.712360e-002	1.281767e-003	1.000000e-004
5.029522775605853e-002	5.014078e-002	1.458716e-003	1.000000e-004
5.629411168462997e-002	5.293650e-002	1.635887e-003	1.000000e-004
6.229299561320140e-002	5.551076e-002	1.813279e-003	1.000000e-004
6.829187954177282e-002	5.786357e-002	1.990893e-003	1.000000e-004
7.429076347034425e-002	5.999492e-002	2.168728e-003	1.000000e-004
8.754411168462997e-002	6.433778e-002	2.561986e-003	1.000000e-004
1.007974598989157e-001	6.842288e-002	2.955501e-003	1.000000e-004
1.140508081132014e-001	7.225022e-002	3.349274e-003	1.000000e-004
1.273041563274871e-001	7.581979e-002	3.743305e-003	1.000000e-004
1.405575045417729e-001	7.913161e-002	4.137594e-003	1.000000e-004
1.538108527560586e-001	8.218565e-002	4.532140e-003	1.000000e-004
1.670642009703443e-001	8.498194e-002	4.926944e-003	1.000000e-004
1.949659866846300e-001	9.053806e-002	5.758441e-003	1.000000e-004
2.228677723989157e-001	9.596836e-002	6.590064e-003	1.000000e-004
2.507695581132014e-001	1.012729e-001	7.421813e-003	1.000000e-004
2.786713438274872e-001	1.064515e-001	8.253688e-003	1.000000e-004
3.065731295417729e-001	1.115044e-001	9.085689e-003	1.000000e-004
3.344749152560586e-001	1.164315e-001	9.917816e-003	1.000000e-004
3.623767009703443e-001	1.212327e-001	1.075007e-002	1.000000e-004
3.855351831132014e-001	1.252198e-001	1.144084e-002	1.000000e-004
4.086936652560586e-001	1.295849e-001	1.213123e-002	1.000000e-004
4.318521473989157e-001	1.343279e-001	1.282124e-002	1.000000e-004
4.550106295417729e-001	1.394488e-001	1.351087e-002	1.000000e-004
4.781691116846300e-001	1.449476e-001	1.420013e-002	1.000000e-004
5.013275938274872e-001	1.508244e-001	1.488900e-002	1.000000e-004
5.244860759703443e-001	1.570791e-001	1.557750e-002	1.000000e-004
5.341121920417729e-001	1.598561e-001	1.586351e-002	1.000000e-004
5.437383081132015e-001	1.631383e-001	1.614901e-002	1.000000e-004
5.533644241846299e-001	1.669257e-001	1.643401e-002	1.000000e-004
