time	V(n015)	Ib(Q4)
2.412829509703443e-001	6.448303e-001	3.426278e-006
2.432360759703443e-001	6.451750e-001	3.472240e-006
2.461657634703443e-001	6.456909e-001	3.542203e-006
2.496534866846300e-001	6.463036e-001	3.627039e-006
2.531412098989157e-001	6.469145e-001	3.713721e-006
2.566289331132014e-001	6.475235e-001	3.802249e-006
2.601166563274871e-001	6.481307e-001	3.892622e-006
2.636043795417729e-001	6.487360e-001	3.984842e-006
2.670921027560586e-001	6.493395e-001	4.078907e-006
2.705798259703443e-001	6.499411e-001	4.174819e-006
2.790898706132014e-001	6.514017e-001	4.416287e-006
2.875999152560586e-001	6.528494e-001	4.670584e-006
2.961099598989157e-001	6.542842e-001	4.937710e-006
3.046200045417729e-001	6.557063e-001	5.217665e-006
3.131300491846299e-001	6.571155e-001	5.510449e-006
3.216400938274872e-001	6.585119e-001	5.816062e-006
3.301501384703443e-001	6.598955e-001	6.134504e-006
3.408923259703443e-001	6.616221e-001	6.556394e-006
3.516345134703443e-001	6.633244e-001	7.002554e-006
3.623767009703443e-001	6.650024e-001	7.472982e-006
3.731188884703443e-001	6.666561e-001	7.967678e-006
3.838610759703443e-001	6.682856e-001	8.486643e-006
3.946032634703443e-001	6.698908e-001	9.029877e-006
4.053454509703443e-001	6.714717e-001	9.597379e-006
4.109258081132014e-001	6.722823e-001	9.902830e-006
4.165061652560586e-001	6.730859e-001	1.021533e-005
4.220865223989157e-001	6.738824e-001	1.053487e-005
4.276668795417729e-001	6.746719e-001	1.086146e-005
4.332472366846299e-001	6.754543e-001	1.119510e-005
4.388275938274871e-001	6.762297e-001	1.153578e-005
4.444079509703443e-001	6.769981e-001	1.188351e-005
4.483142009703443e-001	6.775317e-001	1.213119e-005
4.522204509703443e-001	6.780617e-001	1.238237e-005
4.561267009703443e-001	6.785883e-001	1.263705e-005
4.600329509703443e-001	6.791114e-001	1.289522e-005
4.639392009703443e-001	6.796310e-001	1.315688e-005
4.678454509703443e-001	6.801471e-001	1.342204e-005
4.717517009703443e-001	6.806597e-001	1.369069e-005
4.748208973989157e-001	6.810600e-001	1.390423e-005
4.778900938274871e-001	6.814581e-001	1.411992e-005
4.809592902560586e-001	6.818541e-001	1.433776e-005
4.840284866846299e-001	6.822480e-001	1.455774e-005
4.870976831132014e-001	6.826397e-001	1.477988e-005
4.901668795417729e-001	6.830292e-001	1.500416e-005
4.932360759703443e-001	6.834166e-001	1.523060e-005
4.960262545417728e-001	6.837669e-001	1.543830e-005
4.988164331132014e-001	6.841155e-001	1.564777e-005
5.016066116846299e-001	6.844624e-001	1.585899e-005
5.043967902560586e-001	6.848074e-001	1.607197e-005
5.071869688274872e-001	6.851507e-001	1.628670e-005
5.099771473989156e-001	6.854922e-001	1.650319e-005
5.127673259703443e-001	6.858320e-001	1.672143e-005
5.152784866846299e-001	6.861363e-001	1.691935e-005
5.177896473989156e-001	6.864393e-001	1.711866e-005
5.203008081132013e-001	6.867408e-001	1.731938e-005
5.228119688274872e-001	6.870409e-001	1.752150e-005
5.253231295417729e-001	6.873396e-001	1.772502e-005
5.278342902560586e-001	6.876369e-001	1.792994e-005
5.303454509703443e-001	6.879328e-001	1.813626e-005
5.327171027560586e-001	6.882110e-001	1.833239e-005
5.350887545417729e-001	6.884880e-001	1.852976e-005
5.374604063274872e-001	6.887637e-001	1.872834e-005
5.398320581132013e-001	6.890382e-001	1.892816e-005
5.422037098989156e-001	6.893115e-001	1.912920e-005
5.445753616846299e-001	6.895836e-001	1.933147e-005
5.469470134703443e-001	6.898544e-001	1.953497e-005
5.498767009703443e-001	6.901873e-001	1.978802e-005
5.528063884703443e-001	6.905184e-001	2.004291e-005
5.557360759703443e-001	6.908476e-001	2.029964e-005
5.586657634703443e-001	6.911749e-001	2.055821e-005
5.615954509703443e-001	6.915005e-001	2.081860e-005
5.645251384703443e-001	6.918242e-001	2.108080e-005
5.674548259703443e-001	6.921461e-001	2.134482e-005
5.703845134703443e-001	6.924663e-001	2.161064e-005
5.733142009703443e-001	6.927846e-001	2.187825e-005
5.762438884703443e-001	6.931011e-001	2.214764e-005
5.791735759703443e-001	6.934159e-001	2.241882e-005
5.821032634703443e-001	6.937289e-001	2.269176e-005
5.850329509703443e-001	6.940401e-001	2.296646e-005
5.879626384703443e-001	6.943496e-001	2.324291e-005
5.908923259703443e-001	6.946573e-001	2.352110e-005
5.938220134703443e-001	6.949633e-001	2.380104e-005
5.967517009703443e-001	6.952677e-001	2.408269e-005
5.996813884703443e-001	6.955702e-001	2.436606e-005
6.026110759703443e-001	6.958711e-001	2.465114e-005
6.055407634703443e-001	6.961702e-001	2.493792e-005
6.084704509703443e-001	6.964677e-001	2.522638e-005
6.114001384703443e-001	6.967635e-001	2.551653e-005
6.143298259703443e-001	6.970576e-001	2.580834e-005
6.172595134703443e-001	6.973501e-001	2.610182e-005
6.201892009703443e-001	6.976409e-001	2.639694e-005
6.231188884703443e-001	6.979300e-001	2.669371e-005
6.260485759703443e-001	6.982176e-001	2.699212e-005
6.289782634703443e-001	6.985035e-001	2.729214e-005
6.319079509703443e-001	6.987878e-001	2.759378e-005
6.348376384703443e-001	6.990705e-001	2.789703e-005
6.374883081132013e-001	6.993249e-001	2.817278e-005
6.401389777560586e-001	6.995780e-001	2.844981e-005
6.427896473989156e-001	6.998298e-001	2.872813e-005
6.454403170417729e-001	7.000803e-001	2.900772e-005
6.480909866846299e-001	7.003296e-001	2.928860e-005
6.507416563274872e-001	7.005776e-001	2.957075e-005
6.533923259703443e-001	7.008243e-001	2.985418e-005
6.564615223989156e-001	7.011083e-001	3.018394e-005
6.595307188274872e-001	7.013908e-001	3.051535e-005
6.625999152560586e-001	7.016716e-001	3.084839e-005
6.656691116846299e-001	7.019507e-001	3.118308e-005
6.687383081132013e-001	7.022283e-001	3.151941e-005
6.718075045417729e-001	7.025041e-001	3.185738e-005
6.748767009703443e-001	7.027783e-001	3.219700e-005
6.794804956132013e-001	7.031866e-001	3.270948e-005
6.840842902560586e-001	7.035914e-001	3.322543e-005
6.886880848989156e-001	7.039927e-001	3.374486e-005
6.932918795417729e-001	7.043906e-001	3.426776e-005
6.978956741846299e-001	7.047850e-001	3.479413e-005
7.024994688274872e-001	7.051759e-001	3.532399e-005
7.071032634703443e-001	7.055633e-001	3.585731e-005
7.143577277560586e-001	7.061669e-001	3.670468e-005
7.216121920417729e-001	7.067626e-001	3.755986e-005
7.288666563274872e-001	7.073505e-001	3.842284e-005
7.361211206132015e-001	7.079306e-001	3.929362e-005
7.433755848989156e-001	7.085029e-001	4.017221e-005
7.506300491846299e-001	7.090674e-001	4.105861e-005
7.578845134703443e-001	7.096241e-001	4.195281e-005
7.684871920417729e-001	7.104241e-001	4.327333e-005
7.790898706132015e-001	7.112099e-001	4.460809e-005
7.896925491846299e-001	7.119814e-001	4.595709e-005
8.002952277560586e-001	7.127387e-001	4.732033e-005
8.108979063274872e-001	7.134818e-001	4.869782e-005
8.215005848989156e-001	7.142106e-001	5.008956e-005
8.321032634703443e-001	7.149251e-001	5.149553e-005
8.530296027560586e-001	7.162940e-001	5.431196e-005
8.739559420417729e-001	7.176209e-001	5.717029e-005
8.948822813274872e-001	7.189059e-001	6.007054e-005
9.158086206132015e-001	7.201490e-001	6.301270e-005
9.367349598989156e-001	7.213502e-001	6.599678e-005
9.576612991846301e-001	7.225095e-001	6.902276e-005
9.785876384703443e-001	7.236269e-001	7.209066e-005
9.795642009703443e-001	7.236784e-001	7.223444e-005
9.990954509703443e-001	7.246935e-001	7.512562e-005
1.000000000000000e+000	7.247398e-001	7.526021e-005
